Name,Team,G,PA,HR,R,RBI,SB,BBRate,KRate,ISO,AVG,OBP,SLG,wOBA
Nelson Cruz Jr.,SDP,124,507,10,50,64,4,9.7,23.5,0.103,0.234,0.312,0.337,0.292
Charlie Blackmon,COL,135,577,16,60,78,4,5.5,18.9,0.155,0.264,0.312,0.419,0.317
Andrew McCutchen,PIT,134,580,17,66,69,8,9.8,21.4,0.148,0.237,0.316,0.384,0.309
Justin Turner,LAD,128,532,13,61,81,3,9.4,16.7,0.16,0.278,0.35,0.438,0.343
Elvis Andrus,TEX,149,577,17,66,58,18,6.8,15.9,0.155,0.249,0.303,0.404,0.31
Carlos Santana,PIT,131,506,19,52,60,0,14,17.4,0.174,0.202,0.316,0.376,0.308
Yuli Gurriel,MIA,146,584,8,53,53,8,5.1,12.5,0.117,0.242,0.288,0.36,0.285
Miguel Rojas,LAD,140,507,6,34,36,9,5.1,12,0.087,0.236,0.282,0.323,0.268
Eduardo Escobar,NYM,136,542,20,58,69,0,7.4,23.8,0.19,0.24,0.295,0.43,0.311
Tommy Pham,NYM,144,622,17,89,63,8,9,26.8,0.137,0.236,0.312,0.374,0.304
J.D. Martinez,LAD,139,596,16,76,62,0,8.7,24.3,0.174,0.274,0.341,0.448,0.343
Paul Goldschmidt,STL,151,651,35,106,115,7,12.1,21.7,0.26,0.317,0.402,0.578,0.419
Jose Altuve,HOU,141,604,28,103,57,18,10.9,14.4,0.233,0.3,0.387,0.533,0.397
Cesar Hernandez,DET,147,617,1,64,34,10,7.3,18.5,0.07,0.248,0.31,0.318,0.283
Starling Marte,NYM,118,505,16,76,63,18,5.1,19.2,0.176,0.292,0.347,0.468,0.355
Josh Donaldson,NYY,132,546,15,59,62,2,9.9,27.1,0.153,0.222,0.308,0.374,0.302
Freddie Freeman,LAD,159,708,21,117,100,13,11.9,14.4,0.186,0.325,0.407,0.511,0.393
DJ LeMahieu,NYY,125,541,12,74,46,4,12.4,13.1,0.116,0.261,0.357,0.377,0.329
Anthony Rizzo,NYY,130,548,32,77,75,6,10.6,18.4,0.256,0.224,0.338,0.48,0.352
Wilmer Flores,NYM,151,602,19,72,71,0,9.8,17.1,0.166,0.229,0.316,0.394,0.312
Marcell Ozuna,ATL,124,507,23,56,56,2,6.1,24.1,0.187,0.226,0.274,0.413,0.298
Jesus Aguilar,OAK,129,507,16,39,51,1,5.5,23.5,0.144,0.235,0.278,0.379,0.288
C.J. Cron,COL,150,632,29,79,102,0,6.8,25.9,0.21,0.257,0.315,0.468,0.335
Marcus Semien,TEX,161,724,26,101,83,25,7.3,16.6,0.181,0.248,0.304,0.429,0.317
George Springer III,TOR,133,583,25,89,76,14,9.3,17.2,0.205,0.267,0.34,0.472,0.352
Randal Grichuk,COL,140,538,19,60,73,4,4.5,23.6,0.166,0.259,0.299,0.425,0.315
Jose Abreu,HOU,157,679,15,85,75,0,9.1,16.2,0.141,0.304,0.378,0.446,0.361
Eugenio Suarez,SEA,150,629,31,76,87,0,11.6,31.2,0.223,0.236,0.332,0.459,0.344
Gio Urshela,LAA,144,551,13,61,64,1,7.4,17.4,0.144,0.285,0.338,0.429,0.332
Jonathan Schoop,DET,131,510,11,48,38,5,3.7,21,0.121,0.202,0.239,0.322,0.245
Nolan Arenado,STL,148,620,30,73,103,5,8.4,11.6,0.241,0.293,0.358,0.533,0.381
Kyle Farmer,MIN,145,583,14,58,78,4,5.7,17,0.131,0.255,0.314,0.386,0.309
Max Muncy,LAD,136,565,21,69,69,2,15.9,25,0.188,0.196,0.329,0.384,0.318
AJ Pollock,SEA,138,527,14,61,56,3,6.1,18.6,0.143,0.245,0.292,0.389,0.297
Luke Voit III,MIL,135,568,22,55,69,1,9.7,31.5,0.176,0.226,0.308,0.402,0.311
Christian Walker,ARI,160,667,36,84,94,2,10.3,19.6,0.235,0.242,0.327,0.477,0.346
Mike Yastrzemski,SFG,148,558,17,73,57,5,10.9,25.3,0.177,0.214,0.305,0.392,0.307
Mark Canha,NYY,140,542,13,71,61,3,8.9,17.9,0.136,0.266,0.367,0.403,0.343
Nick Castellanos,PHI,136,558,13,56,62,7,5.2,23.3,0.126,0.263,0.305,0.389,0.304
Brandon Drury,LAA,138,568,28,87,87,2,6.7,22.2,0.23,0.263,0.32,0.492,0.35
Aaron Judge,NYY,157,696,62,133,131,16,15.9,25.1,0.375,0.311,0.422,0.686,0.458
Manny Machado,SDP,150,644,32,100,102,9,9.8,20.7,0.234,0.298,0.366,0.531,0.382
J.T. Realmuto,PHI,139,562,22,75,84,21,7.3,21.2,0.202,0.276,0.342,0.478,0.354
Hunter Renfroe,LAA,125,522,29,62,72,1,7.5,23.2,0.236,0.255,0.314,0.492,0.347
Christian Yelich,MIL,154,671,14,99,57,19,13.1,24.1,0.13,0.252,0.355,0.383,0.328
Whit Merrifield,TOR,139,550,11,70,58,16,6.9,15.5,0.125,0.25,0.298,0.375,0.294
Xander Bogaerts,SDP,150,631,15,84,73,8,9,18.7,0.149,0.307,0.377,0.456,0.363
Jurickson Profar,COL,152,658,15,82,58,5,11.1,15.7,0.148,0.243,0.33,0.391,0.32
Javier Baez,DET,144,590,17,64,67,9,4.4,24.9,0.155,0.238,0.278,0.393,0.291